par;ind;fam;cient;autor;verna;cap;ht;hc;qf;qc;estrato;obs
13;15;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;40;10;4;2;2;inter;
13;16;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;89;15;5;2;1;dossel;
13;17;Clusiaceae;Garcinia gardneriana;(Planch. & Triana) Zappi;Bacupari;37;7;2;2;1;sub;
13;18;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;42;13;2;3;1;inter;
13;19;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;44;9;3;2;2;inter;
13;20;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;85;14;6;2;1;dossel;
13;21;Fabaceae;Inga edwallii;(Harms) T.D.Penn.;Ing�-liso;60;13;3;2;2;dossel;
13;22;Calophyllaceae;Calophyllum brasiliense;Cambess.;Guanandi;229;17;10;1;1;emerg;
14;1;Clusiaceae;Garcinia gardneriana;(Planch. & Triana) Zappi;Bacupari;25;9;2;2;1;sub;
14;2;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;25;8;3;2;1;sub;
14;3;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;56;14;5;2;1;dossel;
14;4;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;165;19;7;2;1;emerg;
14;5;Indet.;Indet.;;;76;17;4;2;1;dossel;
14;6;Euphorbiaceae;Aparisthmium cordatum;(A.Juss.) Baill.;Iricurana;30;9;3;2;2;sub;
14;7;Phyllanthaceae;Hyeronima alchorneoides;Allem�o;Cajueiro-bravo;53;8;3;2;2;inter;
14;8;Myrtaceae;Eugenia excelsa;O.Berg;Eugenia;86;17;8;2;2;dossel;
14;9;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;23;7;3;2;2;sub;
14;10;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;126;19;10;1;1;emerg;
14;11;Rubiaceae;Faramea montevidensis;(Cham. & Schltdl.) DC.;Caf�-do-mato;40;9;3;3;2;sub;
14;12;Monimiaceae;Mollinedia schottiana;(Spreng.) Perkins;Espinheira-santa;41;8;2;2;2;sub;
14;13;Fabaceae;Pterocarpus rohrii;Vahl;Pau-sangue;74;17;6;2;2;dossel;
14;14;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;31;7;2;3;2;inter;
14;15;Myrtaceae;Myrcia reitzii;(D.Legrand) Mazine;Cambuimzinho;22;7;2;3;2;sub;
14;16;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;51;9;5;2;2;inter;
14;17;Phyllanthaceae;Hyeronima alchorneoides;Allem�o;Cajueiro-bravo;33;8;2;3;2;inter;
14;18;Rubiaceae;Faramea montevidensis;(Cham. & Schltdl.) DC.;Caf�-do-mato;23;7;3;2;2;sub;
14;19;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;141;20;7;2;1;emerg;
14;20;Rubiaceae;Faramea montevidensis;(Cham. & Schltdl.) DC.;Caf�-do-mato;25;12;10;3;3;inter;
14;21;Chrysobalanaceae;Hirtella hebeclada;Moric. ex DC.;Pau-cinza;36;7;3;2;2;sub;
14;22;Lauraceae;Nectandra oppositifolia;Nees;Canela-ferrugem;138;22;12;2;2;emerg;
14;23;Burseraceae;Protium kleinii;Cuatrec.;Alm�cega;81;17;6;2;1;dossel;
14;24;;Morta;;;28;;;;;;Morta
14;25;Primulaceae;Cybianthus brasiliensis;(Mez) G.Agostini;Capororoca;22;14;3;3;1;inter;
14;25;Primulaceae;Cybianthus brasiliensis;(Mez) G.Agostini;Capororoca;26;14;3;3;1;inter;
14;25;Primulaceae;Cybianthus brasiliensis;(Mez) G.Agostini;Capororoca;70;14;3;3;1;inter;
14;26;Melastomataceae;Mouriri chamissoana;Cogn.;Mandapu��;27;9;2;2;1;inter;
14;27;Phyllanthaceae;Hyeronima alchorneoides;Allem�o;Cajueiro-bravo;26;10;5;3;2;inter;
14;28;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;23;9;2;2;2;sub;
14;29;Fabaceae;Pterocarpus rohrii;Vahl;Pau-sangue;68;16;8;2;1;dossel;
14;30;Boraginaceae;Cordia sellowiana;Cham.;Louro-mole;23;8;2;2;2;sub;
14;31;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;126;17;10;2;1;dossel;
14;32;Rubiaceae;Psychotria sp.1;;;24;7;3;3;2;inter;
14;33;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;68;15;9;1;1;dossel;
14;34;;Morta;;;49;;;;;;Morta
14;35;Sapindaceae;Cupania oblongifolia;Mart.;Camboat�;79;16;8;2;1;dossel;
14;36;Annonaceae;Guatteria australis;A.St.-Hil.;Pinda�va-preta;36;12;5;3;2;inter;
15;1;Myrtaceae;Eugenia malacantha;D.Legrand;Eugenia;59;15;8;2;1;dossel;
15;2;Lauraceae;Ocotea dispersa;(Nees & Mart.) Mez;Canela-sab�o;26;10;6;2;1;inter;
15;3;Fabaceae;Zollernia ilicifolia;(Brongn.) Vogel;Laranjeira-do-mato;34;10;4;2;2;inter;
15;4;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;19;8,5;4;2;2;inter;
15;5;Clusiaceae;Garcinia gardneriana;(Planch. & Triana) Zappi;Bacupari;20;8;3;2;2;inter;
15;6;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;29;9;4;2;1;inter;
15;6;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;31;9;4;2;1;inter;
15;6;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;27;9;4;2;1;inter;
15;6;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;19;9;4;2;1;inter;
15;6;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;22;9;4;2;1;inter;
15;7;;Morta;;;32;6;2;3;2;sub;Morta
15;8;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;142;16;6;3;1;emerg;
15;9;Araliaceae;Didymopanax morototoni;(Aubl.) Decne. & Planch.;Morotot�;74;14;6;2;1;dossel;
15;10;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;31;8;1,5;3;2;sub;
15;11;Clusiaceae;Garcinia gardneriana;(Planch. & Triana) Zappi;Bacupari;23;7;4;2;1;sub;
15;12;Fabaceae;Inga sellowiana;Benth.;Ing�-mirim;63;14;2;1;1;dossel;
15;13;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;43;8;1;3;2;inter;
15;14;;Morta;;;46;;;;;;Morta
15;15;Boraginaceae;Cordia sellowiana;Cham.;Louro-mole;37;8;3;2;2;sub;
15;16;Myrtaceae;Eugenia stigmatosa;DC.;Guamirim;41;8;2;2;1;inter;
15;18;Myrtaceae;Myrtaceae sp. 1;;;33;8;3;3;2;sub;
15;17;Myristicaceae;Virola bicuhyba;(Schott ex Spreng.) Warb.;Bicu�ba;41;10;6;2;1;dossel;
15;19;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;32;11;5;2;2;dossel;
15;20;Aquifoliaceae;Ilex theezans;Mart. ex Reissek;Congonha;20;5;2;3;3;sub;
15;21;Fabaceae;Pterocarpus rohrii;Vahl;Pau-sangue;82;9;4;3;2;inter;
15;22;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;168;16;10;2;1;emerg;
15;23;Clusiaceae;Garcinia gardneriana;(Planch. & Triana) Zappi;Bacupari;23;8;4;2;1;inter;
15;24;Fabaceae;Pterocarpus rohrii;Vahl;Pau-sangue;170;18;9;2;1;emerg;
15;25;Indet.;Indet.;;;122;13;7;2;1;dossel;
15;26;Myrtaceae;Eugenia mosenii;(Kausel) Sobral;Guamirim;37;9;3;2;1;inter;
15;27;Clusiaceae;Garcinia gardneriana;(Planch. & Triana) Zappi;Bacupari;18;8;2;3;2;sub;
15;28;Olacaceae;Tetrastylidium grandifolium;(Baill.) Sleumer;Tatu;32;10;4;2;2;inter;
15;29;Monimiaceae;Mollinedia schottiana;(Spreng.) Perkins;Espinheira-santa;18;4;2;3;3;sub;
15;30;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;21;7;3;2;2;sub;bif
15;30;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;20;7;3;2;2;sub;bif
15;31;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;49;12;6;2;1;dossel;
15;32;Olacaceae;Tetrastylidium grandifolium;(Baill.) Sleumer;Tatu;31;10;6;1;2;dossel;
15;33;Clusiaceae;Garcinia gardneriana;(Planch. & Triana) Zappi;Bacupari;50;15;6;3;2;inter;
15;34;Sapindaceae;Cupania oblongifolia;Mart.;Camboat�;80;13;6;2;2;dossel;
15;35;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;23;8;5;1;2;inter;
15;36;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;32;8;3;3;2;inter;
15;37;Myrtaceae;Eugenia malacantha;D.Legrand;Eugenia;30;8;5;2;1;inter;
16;1;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;42;11;5;1;1;dossel;
16;1;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;22;11;5;1;1;dossel;
16;2;Euphorbiaceae;Aparisthmium cordatum;(A.Juss.) Baill.;Iricurana;19;7;3;2;2;sub;
16;3;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;22;7;3;2;1;sub;
16;4;Annonaceae;Xylopia langsdorffiana;A.St.-Hil. & Tul.;Pinda�va;43;9;5;3;2;inter;
16;5;Sapindaceae;Matayba intermedia;Radlk.;Mata�ba;150;15;8;2;1;emerg;
16;6;Fabaceae;Ormosia arborea;(Vell.) Harms;Olho-de-cabra;30;4;2;3;2;sub;
16;7;Fabaceae;Ormosia arborea;(Vell.) Harms;Olho-de-cabra;21;5;2;2;1;sub;
16;8;Sapotaceae;Pouteria beaurepairei;(Glaz. & Raunk.) Baehni;Batat�;81;16;9;2;1;emerg;
16;9;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;101;16;10;1;1;emerg;
16;10;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;31;9;4;3;2;inter;
16;11;Euphorbiaceae;Aparisthmium cordatum;(A.Juss.) Baill.;Iricurana;19;8;4;2;2;sub;
16;12;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;34;10;6;3;2;sub;
16;13;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;61;12;7;2;1;dossel;
16;14;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;88;15;8;2;1;dossel;
16;15;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;125;17;10;2;1;emerg;
16;16;Sapotaceae;Manilkara subsericea;(Mart.) Dubard;Ma�aranduba;27;10;4;2;2;inter;
16;17;Euphorbiaceae;Aparisthmium cordatum;(A.Juss.) Baill.;Iricurana;29;8;5;2;2;sub;
16;18;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;49;12;8;2;1;dossel;
16;19;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;59;15;8;2;1;dossel;
16;20;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;55;12;6;2;1;dossel;
16;21;Euphorbiaceae;Aparisthmium cordatum;(A.Juss.) Baill.;Iricurana;34;9;4;2;1;sub;
16;22;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;35,5;11;6;1;1;inter;
16;23;Lauraceae;Aniba firmula;(Nees & Mart.) Mez;Canela;106;13;6;2;1;dossel;
16;24;Lauraceae;Ocotea aciphylla;(Nees & Mart.) Mez;Canela-amarela;67;17;8;2;1;emerg;
16;25;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;60;12;5;2;1;dossel;
16;26;Euphorbiaceae;Alchornea triplinervia;(Spreng.) M�ll.Arg.;Tanheiro;28;7;3;2;1;sub;
16;27;Euphorbiaceae;Aparisthmium cordatum;(A.Juss.) Baill.;Iricurana;21;7;3;2;1;sub;
16;28;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;54;9;15;3;2;inter;bif
16;28;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;35;9;15;3;2;inter;bif
17;1;Quiinaceae;Quiina glaziovii;Engl.;Juvarana;97;17;7;3;1;dossel;
17;2;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;22;9;4;2;1;sub;
17;3;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;42;10;2;2;2;inter;
17;4;Olacaceae;Tetrastylidium grandifolium;(Baill.) Sleumer;Tatu;32;9;5;2;1;dossel;
17;5;Clusiaceae;Garcinia gardneriana;(Planch. & Triana) Zappi;Bacupari;33;10;5;1;1;dossel;
17;6;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;18;6;3;2;1;sub;
17;7;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;68;13;4;2;1;dossel;
17;8;Myrtaceae;Myrtaceae sp. 2;;;21;8;2;2;2;inter;Col
17;9;Olacaceae;Tetrastylidium grandifolium;(Baill.) Sleumer;Tatu;28;8;3;2;1;inter;Col
17;10;Myrtaceae;Myrcia glabra;(O.Berg) D.Legrand;Uv�;20;9;5;2;1;sub;
17;11;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;70;15;8;2;2;dossel;
17;12;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;18;8;4;2;2;sub;
17;13;Rubiaceae;Faramea montevidensis;(Cham. & Schltdl.) DC.;Caf�-do-mato;34;8;3;2;1;sub;
17;14;Euphorbiaceae;Aparisthmium cordatum;(A.Juss.) Baill.;Iricurana;26;8;4;2;1;sub;
17;15;Annonaceae;Xylopia langsdorffiana;A.St.-Hil. & Tul.;Pinda�va;30;12;5;2;1;dossel;
17;16;Humiriaceae;Vantanea compacta;(Schnizl.) Cuatrec.;Guaraparim;118;15;7;2;1;dossel;
17;17;Melastomataceae;Mouriri chamissoana;Cogn.;Mandapu��;62;12;7;2;1;inter;
17;18;Indet.;Indet.;;;120;17;8;2;1;emerg;
17;19;Annonaceae;Xylopia langsdorffiana;A.St.-Hil. & Tul.;Pinda�va;39;11;5;2;1;inter;
17;20;Lauraceae;Ocotea mosenii;Mez;Canela-preta;54;16;8;2;1;emerg;
17;21;Myrtaceae;Eugenia subavenia;O.Berg;Eugenia;25;9;1,5;2;1;sub;bif
17;21;Myrtaceae;Eugenia subavenia;O.Berg;Eugenia;46;9;1,5;2;1;sub;bif
17;22;Urticaceae;Pourouma guianensis;Aubl.;Embaubarana;24;9;5;2;1;sub;
17;23;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;51;12;7;2;1;dossel;
17;24;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;51;9;4;2;2;inter;
17;25;Sapotaceae;Manilkara subsericea;(Mart.) Dubard;Ma�aranduba;160;17;5;2;1;emerg;
17;26;Sapindaceae;Cupania oblongifolia;Mart.;Camboat�;36;9;4;2;1;inter;
17;27;Clusiaceae;Garcinia gardneriana;(Planch. & Triana) Zappi;Bacupari;22;8;4;2;1;sub;
17;28;Rubiaceae;Amaioua guianensis;Aubl.;Canela-de-veado;30;10;6;2;2;inter;
17;29;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;49;12;7;2;1;dossel;
17;30;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;48;13;6;2;1;inter;
17;31;Sapindaceae;Matayba juglandifolia;(Cambess.) Radlk.;Camboat�-amarelo;19;9;4;3;2;inter;
17;32;Lauraceae;Ocotea dispersa;(Nees & Mart.) Mez;Canela-sab�o;18;10;6;1;2;inter;bif
17;32;Lauraceae;Ocotea dispersa;(Nees & Mart.) Mez;Canela-sab�o;32;10;6;1;2;inter;bif
17;33;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;112;17;8;2;1;emerg;bif
17;33;Anacardiaceae;Tapirira guianensis;Aubl.;Pau-pombo;116;17;8;2;1;emerg;bif
17;34;Sapotaceae;Ecclinusa ramiflora;Mart.;Abiorana;28;11;7;2;1;inter;
17;35;Monimiaceae;Mollinedia schottiana;(Spreng.) Perkins;Espinheira-santa;36;11;4;2;2;inter;
17;36;Elaeocarpaceae;Sloanea guianensis;(Aubl.) Benth.;Urucurana;24;7;3;2;2;sub;
17;37;Rubiaceae;Faramea montevidensis;(Cham. & Schltdl.) DC.;Caf�-do-mato;22;6;1;3;2;sub;
17;38;Melastomataceae;Mouriri chamissoana;Cogn.;Mandapu��;47;13;8;3;2;inter;
17;39;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;45;12;4;3;1;inter;
18;1;Fabaceae;Ormosia arborea;(Vell.) Harms;Olho-de-cabra;64;9;4;1;2;dossel;
18;2;Rubiaceae;Faramea montevidensis;(Cham. & Schltdl.) DC.;Caf�-do-mato;40;6;3;2;2;sub;
18;3;Sapindaceae;Cupania oblongifolia;Mart.;Camboat�;44;13;4;1;1;dossel;
18;4;Lauraceae;Endlicheria paniculata;(Spreng.) J.F.Macbr.;Canela-garuva;90;13;7;1;1;dossel;
18;5;Indet.;Indet.;;;111;13;8;1;1;dossel;
18;6;;Morta;;;30;9;8;3;3;inter;Morta
18;7;Burseraceae;Protium kleinii;Cuatrec.;Alm�cega;88;10;5;3;2;inter;Tombada
18;8;Sapotaceae;Manilkara subsericea;(Mart.) Dubard;Ma�aranduba;141;14;8;2;1;dossel;bif
18;8;Sapotaceae;Manilkara subsericea;(Mart.) Dubard;Ma�aranduba;88;14;8;2;1;dossel;bif
18;9;Clusiaceae;Garcinia gardneriana;(Planch. & Triana) Zappi;Bacupari;38;9;4;2;1;inter;
18;10;Lauraceae;Nectandra oppositifolia;Nees;Canela-ferrugem;64;10;5;3;1;inter;
18;11;Olacaceae;Heisteria silvianii;Schwacke;Brinco-de-mulata;30;7;2;3;2;sub;col
18;12;;Morta;;;38;;;;;;Morta
18;13;;Morta;;;27;;;;;;Morta
18;14;Myrtaceae;Myrcia spectabilis;DC.;Ameixa-do-mato;38;8;5;3;2;sub;
18;15;Monimiaceae;Mollinedia schottiana;(Spreng.) Perkins;Espinheira-santa;24;7;2;2;2;sub;
18;16;Melastomataceae;Miconia cubatanensis;Hoehne;Pixirica;24;8;3;2;1;sub;
18;17;Rubiaceae;Faramea montevidensis;(Cham. & Schltdl.) DC.;Caf�-do-mato;48;13;4;2;2;inter;
18;18;Lauraceae;Endlicheria paniculata;(Spreng.) J.F.Macbr.;Canela-garuva;50;14;7;2;1;dossel;
18;19;Rubiaceae;Faramea montevidensis;(Cham. & Schltdl.) DC.;Caf�-do-mato;25;8;3;2;2;inter;
18;20;Indet.;Indet.;;;37;10;5;2;2;inter;
18;21;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;25;7;2;3;2;inter;
18;22;Sapotaceae;Manilkara subsericea;(Mart.) Dubard;Ma�aranduba;26;8;3;3;2;inter;
18;23;Lauraceae;Aniba firmula;(Nees & Mart.) Mez;Canela;33;11;5;3;2;inter;
18;24;Lauraceae;Endlicheria paniculata;(Spreng.) J.F.Macbr.;Canela-garuva;19;8;2;3;2;sub;
18;25;Annonaceae;Annona dolabripetala;Raddi;Pinha do mato;30;9;2;2;1;inter;
18;26;Myrtaceae;Myrcia racemosa;(O.Berg) Kiaersk.;Guamirim-branco;18;7;2;2;2;sub;
18;27;Myrtaceae;Myrcia strigipes;Mart.;Guamirim;22;9;3;3;2;inter;
18;28;Burseraceae;Protium kleinii;Cuatrec.;Alm�cega;103;14;6;1;1;dossel;
